course_name,theory_credits,practical_credits,total_credits,note,class
,LT,TH,Tổng,,
Thực tập tốt nghiệp (IT),0,3,3,,"19GIT,19SE1->SE5,19JIT,19KIT,19AD,19DA,19MC"
Đồ án tốt nghiệp (IT),0,10,10,,"19GIT,19SE1->SE5,19JIT,19KIT,19AD,19DA,19MC"
TỔNG,0,13,13,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Thực tập tốt nghiệp (IT),0,3,3,,"21GIT,21SE1->SE5,21JIT,21KIT,21AD,21DA,21MC"
Đồ án tốt nghiệp (IT),0,10,10,,"21GIT,21SE1->SE5,21JIT,21KIT,21AD,21DA,21MC"
TỔNG,0,13,13,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Kinh tế chính trị Mác - Lênin,2,0,2,,22SE1->2
Tư tưởng Hồ Chí Minh,2,0,2,,22SE1->2
Đảm bảo chất lượng và Kiểm thử phần mềm,3,0,3,,22SE1->2
Điện toán đám mây,1.5,0.5,2,,22SE1->2
Chuyên đề 3 (IT),2,0,2,"Low code, No code & Automation",22SE1->2
Đồ án chuyên ngành 2 (IT),0,1,1,,22SE1->2
Phát triển ứng dụng di động đa nền tảng,1.5,0.5,2,,22SE1->2
Lập trình game,1.5,0.5,2,,22SE1->2
Kho dữ liệu,1.5,0.5,2,,22SE1->2
Thực tập doanh nghiệp (IT),0,3,3,,22SE1->2
TỔNG,15,6,21,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Kinh tế chính trị Mác - Lênin,2,0,2,,22GIT-KS
Tư tưởng Hồ Chí Minh,2,0,2,,22GIT-KS
Đảm bảo chất lượng và Kiểm thử phần mềm,3,0,3,,22GIT-KS
Điện toán đám mây,1.5,0.5,2,,22GIT-KS
Chuyên đề 3 (IT),2,0,2,AI-Data Science Projects,22GIT-KS
Đồ án chuyên ngành 2,0,1,1,,22GIT-KS
Phát triển ứng dụng di động đa nền tảng,1.5,0.5,2,,22GIT-KS
Lập trình game,1.5,0.5,2,,22GIT-KS
Kho dữ liệu,1.5,0.5,2,,22GIT-KS
Thực tập doanh nghiệp,0,3,3,,22GIT-KS
TỔNG,15,6,21,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Kinh tế chính trị Mác - Lênin,2,0,2,,22JIT
Tư tưởng Hồ Chí Minh,2,0,2,,22JIT
Đảm bảo chất lượng và Kiểm thử phần mềm,3,0,3,,22JIT
Điện toán đám mây,1.5,0.5,2,,22JIT
Chuyên đề 3 (IT),2,0,2,Blockchain,22JIT
Đồ án chuyên ngành 2 (IT),0,1,1,,22JIT
Phát triển ứng dụng di động đa nền tảng,1.5,0.5,2,,22JIT
Tiếng Nhật nâng cao 1,2,0,2,,22JIT
Thực tập doanh nghiệp (IT),0,3,3,,22JIT
TỔNG,14,5,19,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Kinh tế chính trị Mác - Lênin,2,0,2,,22KIT-KS
Tư tưởng Hồ Chí Minh,2,0,2,,22KIT-KS
Đảm bảo chất lượng và Kiểm thử phần mềm,3,0,3,,22KIT-KS
Điện toán đám mây,1.5,0.5,2,,22KIT-KS
Chuyên đề 3 (IT),2,0,2,Blockchain,22KIT-KS
Đồ án chuyên ngành 2 (IT),0,1,1,,22KIT-KS
Phát triển ứng dụng di động đa nền tảng,1.5,0.5,2,,22KIT-KS
Tiếng Hàn doanh nghiệp 3,3,0,3,,22KIT-KS
Thực tập doanh nghiệp (IT),0,3,3,,22KIT-KS
TỔNG,15,5,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Kinh tế chính trị Mác - Lênin,2,0,2,,22AD
Tư tưởng Hồ Chí Minh,2,0,2,,22AD
Học sâu,2,1,3,,22AD
Phân tích dữ liệu,2,1,3,,22AD
Thị giác máy tính,2,1,3,,22AD
Chuyên đề 3 (IT),2,0,2,Sentiment analysis,22AD
Đồ án chuyên ngành 2 (IT),0,1,1,,22AD
Thực tập doanh nghiệp (IT),0,3,3,,22AD
TỔNG,12,7,19,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Kinh tế chính trị Mác - Lênin,2,0,2,,22MC
Tư tưởng Hồ Chí Minh,2,0,2,,22MC
Chương trình dịch,2,0,2,,22MC
Lập trình Game,1.5,0.5,2,,22MC
Thiết kế nhân vật 2 chiều,1,1,2,,22MC
Chuyên đề 3 (IT),2,0,2,Quy trình sản xuất phim và Game,22MC
Đồ án chuyên ngành 2 (IT),0,1,1,,22MC
Truyền thông đại chúng ứng dụng,1,1,2,,22MC
Thiết kế Poster,1,1,2,,22MC
Thực tập doanh nghiệp (IT),0,3,3,,22MC
TỔNG,12.5,7.5,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Kinh tế chính trị Mác –Lênin,2,0,2,,22DA
Tư tưởng Hồ Chí Minh,2,0,2,,22DA
Chương trình dịch,2,0,2,,22DA
Trí tuệ nhân tạo,2,1,3,,22DA
Chuyên đề 3 (IT),2,0,2,Chất liệu tạo hình,22DA
Đồ án chuyên ngành 2 (IT),0,1,1,,22DA
Thiết kế Logo,1,1,2,,22DA
Thiết kế bộ ấn phẩm văn phòng,1,1,2,,22DA
Thiết kế hoạt hình 2 chiều,1,1,2,,22DA
Thực tập doanh nghiệp (IT),0,3,3,,22DA
TỔNG,13,8,21,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lập trình mạng,1.5,0.5,2,,23SE1->3
Trí tuệ nhân tạo,2,1,3,,23SE1->3
Đồ án cơ sở 4 (IT),0,1,1,,23SE1->3
Thực tập thực tế (IT),0,1,1,,23SE1->3
Tiếng Anh nâng cao 3,2,0,2,,23SE1->3
Linux và phần mềm nguồn mở,1.5,0.5,2,,23SE1->3
Phân tích và thiết kế giải thuật,1.5,0.5,2,,23SE1->3
Lập trình hệ thống,1.5,0.5,2,,23SE1->3
Đồ họa máy tính,2,1,3,,23SE1->3
Chuyên đề 2 (IT),2,0,2,Xe tự hành,23SE1->3
TỔNG,14,6,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lập trình mạng,1.5,0.5,2,,23GIT
Trí tuệ nhân tạo,2,1,3,,23GIT
Đồ án cơ sở 4 (IT),0,1,1,,23GIT
Thực tập thực tế (IT),0,1,1,,23GIT
Tiếng Anh nâng cao 3,2,0,2,,23GIT
Linux và phần mềm nguồn mở,1.5,0.5,2,,23GIT
Phân tích và thiết kế giải thuật,1.5,0.5,2,,23GIT
Lập trình hệ thống,1.5,0.5,2,,23GIT
Đồ họa máy tính,2,1,3,,23GIT
Chuyên đề 2 (IT),2,0,2,Lập trình xe tự hành,23GIT
TỔNG,14,6,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lập trình mạng,1.5,0.5,2,,23JIT-KS
Trí tuệ nhân tạo,2,1,3,,23JIT-KS
Đồ án cơ sở 4 (IT),0,1,1,,23JIT-KS
Thực tập thực tế (IT),0,1,1,,23JIT-KS
Tiếng Nhật 2,2,0,2,,23JIT-KS
Linux và phần mềm nguồn mở,1.5,0.5,2,,23JIT-KS
Phân tích và thiết kế giải thuật,1.5,0.5,2,,23JIT-KS
Lập trình hệ thống,1.5,0.5,2,,23JIT-KS
Đồ họa máy tính,2,1,3,,23JIT-KS
Chuyên đề 2 (IT),2,0,2,Khởi nghiệp thực tế,23JIT-KS
TỔNG,14,6,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lập trình mạng,1.5,0.5,2,,23KIT-KS
Trí tuệ nhân tạo,2,1,3,,23KIT-KS
Đồ án cơ sở 4 (IT),0,1,1,,23KIT-KS
Thực tập thực tế (IT),0,1,1,,23KIT-KS
Tiếng Hàn doanh nghiệp 1,2,0,2,,23KIT-KS
Linux và phần mềm nguồn mở,1.5,0.5,2,,23KIT-KS
